gene,perm_importance_mean,perm_importance_std
SYNE1,4.542012821143748e-05,4.9018474784477064e-05
CCDC168,4.52358385642393e-05,2.236285560589424e-05
ABL2,4.470874240243283e-05,4.687428272171604e-05
AC009283.1,4.468702576865269e-05,2.1814069573286458e-05
ITGA6,4.447871114529045e-05,4.918208050890759e-05
KIAA1551,4.444788217919937e-05,3.261141657821502e-05
NCAPG,4.403034790835258e-05,2.3787725361279973e-05
CYGB,4.3773316351802816e-05,2.4947102728256796e-05
ID1,4.348295564142735e-05,8.578775781198677e-05
TOP2A,4.338856623030685e-05,5.9714494468370706e-05
FAT1,4.263546028954179e-05,7.08652212251866e-05
PGM5,4.240915254785094e-05,1.4434059136431064e-05
HIST2H2AC,4.2003591411932106e-05,4.404517952792854e-05
INHBA,4.139762030038741e-05,4.607723504529587e-05
BX546450.1,4.135947668818529e-05,1.3205732979966747e-05
CD163L1,4.125956569998035e-05,3.3841352581431536e-05
HAP1,4.0895581225619535e-05,1.8731599481519588e-05
ARL14,4.0860937045605895e-05,3.251732630437349e-05
UBE2C,4.0479364902412665e-05,6.8509766027387e-05
HIST2H2BE,4.034510814053816e-05,1.5141712304736973e-05
UBALD2,3.992869606646021e-05,5.0729858195390764e-05
EGR2,3.983167038764668e-05,1.4890325994654231e-05
LINC00326,3.96479827270424e-05,2.5509646089326285e-05
PIK3R3,3.9480950289816355e-05,2.3346521470584426e-05
KLF5,3.935518854877307e-05,3.6108098083270185e-05
CKS1B,3.923622129961002e-05,8.024896860994317e-05
KRT17,3.838364084529644e-05,9.497290771920903e-05
AL118516.1,3.785642234682696e-05,2.2639364201898533e-05
HIST1H4H,3.7773036380639446e-05,3.5149446072922854e-05
DNAAF5,3.769052275636176e-05,4.443908014014751e-05
MCL1,3.751658932085178e-05,0.00013993537207015314
TUBA1A,3.736125160282988e-05,7.97538754145213e-05
HBEGF,3.6796968220809136e-05,4.2121333329818776e-05
HTRA1,3.6671160831103225e-05,2.2511067301777085e-05
CSF3,3.6484605923636784e-05,1.90917592634109e-05
ANKRD22,3.606527281250216e-05,2.224895679403478e-05
SAG,3.5748941337121476e-05,1.610141356777495e-05
PIK3IP1,3.5697758950015146e-05,1.2090338951778606e-05
AL158151.3,3.5650178647383954e-05,1.615611171643325e-05
CCNB2,3.557892170726884e-05,7.636570603688357e-05
ANGPT2,3.553037498748024e-05,4.284577269852097e-05
PAXBP1-AS1,3.537375025991496e-05,1.5483812334844218e-05
AP001189.5,3.537366920645102e-05,1.87395373967569e-05
CDK5RAP2,3.5236642508484906e-05,5.912367875567517e-05
ELAVL3,3.511468722414701e-05,1.5464279606061123e-05
FPR1,3.4964706396922726e-05,5.61049151945368e-05
CEBPD,3.4015321133940016e-05,2.6717302390392903e-05
AP001160.1,3.37214336920133e-05,1.1968911825707717e-05
AC091173.1,3.370852238800959e-05,1.899660258729558e-05
AC018638.6,3.367174415001006e-05,1.1179337079875047e-05
PRRX2,3.352337471219657e-05,2.2775219622184233e-05
GIGYF1,3.3250856013888884e-05,1.2372785895632542e-05
LRRC75A,3.324626643038675e-05,3.366627772091048e-05
AC025244.1,3.324172042939999e-05,1.1798639955772322e-05
